 >TARCYLCAP  cylinder with end-caps: Length= 97.3000 Diameter= 17.6000
     27008 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -49.00000  -0.50000  -0.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
     JA  IX  IY  IZ ICOMP(x,y,z)
    376  85   2  -8 1 1 1
    377  86   2  -8 1 1 1
    378  87   2  -8 1 1 1
    379  88   2  -8 1 1 1
    380  89   2  -8 1 1 1
    381  90   2  -8 1 1 1
    382  91   2  -8 1 1 1
    383  92   2  -8 1 1 1
    384  93   2  -8 1 1 1
    385  94   2  -8 1 1 1
    386  95   2  -8 1 1 1
    387  96   2  -8 1 1 1
    388  97   2  -8 1 1 1
    389   1  -4  -7 1 1 1
    390   2  -4  -7 1 1 1
    391   3  -4  -7 1 1 1
    392   4  -4  -7 1 1 1
    393   5  -4  -7 1 1 1
    394   6  -4  -7 1 1 1
    395   7  -4  -7 1 1 1
    396   8  -4  -7 1 1 1
    397   9  -4  -7 1 1 1
    398  10  -4  -7 1 1 1
    399  11  -4  -7 1 1 1
    400  12  -4  -7 1 1 1
    401  13  -4  -7 1 1 1
    402  14  -4  -7 1 1 1
    403  15  -4  -7 1 1 1
    404  16  -4  -7 1 1 1
    405  17  -4  -7 1 1 1
    406  18  -4  -7 1 1 1
    407  19  -4  -7 1 1 1
    408  20  -4  -7 1 1 1
    409  21  -4  -7 1 1 1
    410  22  -4  -7 1 1 1
    411  23  -4  -7 1 1 1
    412  24  -4  -7 1 1 1
    413  25  -4  -7 1 1 1
    414  26  -4  -7 1 1 1
    415  27  -4  -7 1 1 1
    416  28  -4  -7 1 1 1
    417  29  -4  -7 1 1 1
    418  30  -4  -7 1 1 1
    419  31  -4  -7 1 1 1
    420  32  -4  -7 1 1 1
    421  33  -4  -7 1 1 1
    422  34  -4  -7 1 1 1
    423  35  -4  -7 1 1 1
    424  36  -4  -7 1 1 1
    425  37  -4  -7 1 1 1
    426  38  -4  -7 1 1 1
    427  39  -4  -7 1 1 1
    428  40  -4  -7 1 1 1
    429  41  -4  -7 1 1 1
    430  42  -4  -7 1 1 1
    431  43  -4  -7 1 1 1
    432  44  -4  -7 1 1 1
    433  45  -4  -7 1 1 1
    434  46  -4  -7 1 1 1
    435  47  -4  -7 1 1 1
    436  48  -4  -7 1 1 1
    437  49  -4  -7 1 1 1
    438  50  -4  -7 1 1 1
    439  51  -4  -7 1 1 1
    440  52  -4  -7 1 1 1
    441  53  -4  -7 1 1 1
    442  54  -4  -7 1 1 1
    443  55  -4  -7 1 1 1
    444  56  -4  -7 1 1 1
    445  57  -4  -7 1 1 1
    446  58  -4  -7 1 1 1
    447  59  -4  -7 1 1 1
    448  60  -4  -7 1 1 1
    449  61  -4  -7 1 1 1
    450  62  -4  -7 1 1 1
    451  63  -4  -7 1 1 1
    452  64  -4  -7 1 1 1
    453  65  -4  -7 1 1 1
    454  66  -4  -7 1 1 1
    455  67  -4  -7 1 1 1
    456  68  -4  -7 1 1 1
    457  69  -4  -7 1 1 1
    458  70  -4  -7 1 1 1
    459  71  -4  -7 1 1 1
    460  72  -4  -7 1 1 1
    461  73  -4  -7 1 1 1
    462  74  -4  -7 1 1 1
    463  75  -4  -7 1 1 1
    464  76  -4  -7 1 1 1
    465  77  -4  -7 1 1 1
    466  78  -4  -7 1 1 1
    467  79  -4  -7 1 1 1
    468  80  -4  -7 1 1 1
    469  81  -4  -7 1 1 1
    470  82  -4  -7 1 1 1
    471  83  -4  -7 1 1 1
    472  84  -4  -7 1 1 1
    473  85  -4  -7 1 1 1
    474  86  -4  -7 1 1 1
    475  87  -4  -7 1 1 1
    476  88  -4  -7 1 1 1
    477  89  -4  -7 1 1 1
    478  90  -4  -7 1 1 1
    479  91  -4  -7 1 1 1
    480  92  -4  -7 1 1 1
    481  93  -4  -7 1 1 1
    482  94  -4  -7 1 1 1
    483  95  -4  -7 1 1 1
    484  96  -4  -7 1 1 1
    485  97  -4  -7 1 1 1
    486   1  -3  -7 1 1 1
    487   2  -3  -7 1 1 1
    488   3  -3  -7 1 1 1
    489   4  -3  -7 1 1 1
    490   5  -3  -7 1 1 1
    491   6  -3  -7 1 1 1
    492   7  -3  -7 1 1 1
    493   8  -3  -7 1 1 1
    494   9  -3  -7 1 1 1
    495  10  -3  -7 1 1 1
    496  11  -3  -7 1 1 1
    497  12  -3  -7 1 1 1
    498  13  -3  -7 1 1 1
    499  14  -3  -7 1 1 1
    500  15  -3  -7 1 1 1
    501  16  -3  -7 1 1 1
